IPI,Intrepid Potash Inc,Basic Materials,,,
RCII,Rent-A-Center Inc,Consumer Discretionary,,,
RGR,"""Sturm",Consumer Discretionary,,,
RGS,Regis Corp,Consumer Discretionary,,,
RRGB,Red Robin Gourmet Burgers,Consumer Discretionary,,,
RT,Ruby Tuesday Inc,Consumer Discretionary,,,
RUTH,"""Ruth's Hospitality Group",Consumer Discretionary,,,
RYL,Ryland Group Inc,Consumer Discretionary,,,
SAH,Sonic Automotive A,Consumer Discretionary,,,
SAIC,Science Applications International Corp.,Consumer Discretionary,,,
SCHL,Scholastic Corp,Consumer Discretionary,,,
SCI,Service Corp Intl,Consumer Discretionary,,,
SCSS,Select Comfort Corp.,Consumer Discretionary,,,
SGMS,Scientific Games Corp A,Consumer Discretionary,,,
SIG,Signet Jewelers Limited,Consumer Discretionary,,,
SKX,Skechers USA Inc A,Consumer Discretionary,,,
SMP,Standard Motor Products,Consumer Discretionary,,,
SMRT,Stein Mart Inc,Consumer Discretionary,,,
SONC,Sonic Corp,Consumer Discretionary,,,
SPAR,Spartan Motors Inc,Consumer Discretionary,,,
SPF,Standard Pacific Corp,Consumer Discretionary,,,
SSI,Stage Stores Inc,Consumer Discretionary,,,
SSP,EW Scripps Company,Consumer Discretionary,,,
STMP,Stamps.com Inc,Consumer Discretionary,,,
STRA,Strayer Education Inc,Consumer Discretionary,,,
SUP,Superior Industries Intl,Consumer Discretionary,,,
THO,Thor Industries Inc,Consumer Discretionary,,,
TIME,Time Inc.,Consumer Discretionary,,,
TOL,Toll Brothers Inc,Consumer Discretionary,,,
TPX,Tempur-Pedic International Inc.,Consumer Discretionary,,,
TUES,Tuesday Morning Corp,Consumer Discretionary,,,
TUP,Tupperware Corp,Consumer Discretionary,,,
TXRH,Texas Roadhouse,Consumer Discretionary,,,
UEIC,Universal Electronics Inc,Consumer Discretionary,,,
UNF,Unifirst Corp,Consumer Discretionary,,,
UTI,Universal Technical Institute,Consumer Discretionary,,,
VAC,Marriott Vacations Worldwide Corp.,Consumer Discretionary,,,
VOXX,Audiovox Corp A,Consumer Discretionary,,,
VSI,Vitamin Shoppe Inc.,Consumer Discretionary,,,
WEN,Wendy's/Arby's Group Inc,Consumer Discretionary,,,
WGO,Winnebago Industries Inc,Consumer Discretionary,,,
WSM,Williams-Sonoma Inc,Consumer Discretionary,,,
WWW,Wolverine World Wide Inc,Consumer Discretionary,,,
ZQK,Quiksilver Inc,Consumer Discretionary,,,
ZUMZ,Zumiez,Consumer Discretionary,,,
CVGW,Calavo Growers Inc,Consumer Goods,,,
LXU,LSB Industries Inc,Consumer Goods,,,
SLGN,Silgan Hldgs Inc,Consumer Goods,,,
ANDE,Andersons Inc,Consumer Staples,,,
AOI,Alliance One International Inc,Consumer Staples,,,
BGS,B&G Foods Inc.,Consumer Staples,,,
BNNY,AnnieÍs Inc.,Consumer Staples,,,
